#permanent_code,gen1,gen2,gen3,level,name,imp,org_code
16777216;1;0;0;1;Automotive;9999;9
33554432;2;0;0;1;Business;9999;8
50331648;3;0;0;1;Eating & Drinking;9999;12
67108864;4;0;0;1;Government & Public Services;9999;10
83886080;5;0;0;1;Healthcare;9999;1
100663296;6;0;0;1;Label Features;9999;5
117440512;7;0;0;1;Leisure;9999;7
134217728;8;0;0;1;Lodging/Living Accommodation;9999;11
150994944;9;0;0;1;Shopping;9999;6
167772160;10;0;0;1;Sports;9999;2
184549376;11;0;0;1;Tourism;9999;4
201326592;12;0;0;1;Transport;9999;3
16842752;1;1;0;2;Automotive Dealer;9999;9910
16908288;1;2;0;2;Car Wash;9999;9155
16973824;1;3;0;2;Electric Vehicle Station;9999;7309
17039360;1;4;0;2;Motoring Organization Office;9999;7368
17104896;1;5;0;2;Open Parking Area;9999;7369
17170432;1;6;0;2;Parking Garage;9999;7313
17235968;1;7;0;2;Petrol Station;9999;7311
17301504;1;8;0;2;Rent-a-Car Facility;9999;7312
17367040;1;9;0;2;Rent-a-Car Parking;9999;9930
17432576;1;10;0;2;Repair Facility;9999;7310
17498112;1;11;0;2;Rest Area;9999;7395
17563648;1;12;0;2;Toll Gate;9999;7375
17629184;1;13;0;2;Truck Stop;9999;7358
17694720;1;14;0;2;Weigh Station;9999;7359
33619968;2;1;0;2;Agriculture Business;9999;7335
33685504;2;2;0;2;Bank;9;7328
33751040;2;3;0;2;Business Park;9999;7378
33816576;2;4;0;2;Cash Dispenser;9999;7397
33882112;2;5;0;2;Commercial Building;9999;9382
33947648;2;6;0;2;Company;9999;9352
34013184;2;7;0;2;Courier Drop Box;9999;7388
34078720;2;8;0;2;Emergency Medical Service;9999;7391
34144256;2;9;0;2;Exchange;9999;9160
34209792;2;10;0;2;Exhibition & Convention Center;9;9377
34275328;2;11;0;2;Industrial Building;9999;9383
34340864;2;12;0;2;Manufacturing Facility;9999;9156
34406400;2;13;0;2;Media Facility;9999;9158
34471936;2;14;0;2;Research Facility;9999;9157
50397184;3;1;0;2;Café/Pub;9999;9376
50462720;3;2;0;2;Restaurant;9999;7315
50528256;3;3;0;2;Restaurant Area;9999;9359
67174400;4;1;0;2;City Center;9;7379
67239936;4;2;0;2;College/University;9;7377
67305472;4;3;0;2;Courthouse;9999;9363
67371008;4;4;0;2;Embassy;9999;7365
67436544;4;5;0;2;Fire Station/Brigade;9999;7392
67502080;4;6;0;2;Government Office;9999;7367
67567616;4;7;0;2;Library;9;9913
67633152;4;8;0;2;Military Installation;9999;9388
67698688;4;9;0;2;Native Reservation;9999;9389
67764224;4;10;0;2;Non Governmental Organization;9999;9152
67829760;4;11;0;2;Police Station;9;7322
67895296;4;12;0;2;Post Office;9;7324
67960832;4;13;0;2;Primary Resource/Utility;9999;9150
68026368;4;14;0;2;Prison/Correctional Facility;9999;9154
68091904;4;15;0;2;Public Amenity;9999;9932
68157440;4;16;0;2;School;9;7372
68222976;4;17;0;2;Traffic Service Center;9999;7301
68288512;4;18;0;2;Transport Authority/Vehicle Registration;9999;9151
68354048;4;19;0;2;Welfare Organization;9999;9153
83951616;5;1;0;2;Dentist;9999;9374
84017152;5;2;0;2;Doctor;9999;9373
84082688;5;3;0;2;Health Care Service;9999;9663
84148224;5;4;0;2;Hospital/Polyclinic;9999;7321
84213760;5;5;0;2;Pharmacy;9999;7326
84279296;5;6;0;2;Veterinarian;9;9375
100728832;6;1;0;2;Geographic Feature;9999;8099
117506048;7;1;0;2;Amusement Park;9999;9902
117571584;7;2;0;2;Casino;9999;7341
117637120;7;3;0;2;Cinema;9;7342
117702656;7;4;0;2;Club & Association;9999;9937
117768192;7;5;0;2;Community Center;9999;7363
117833728;7;6;0;2;Cultural Center;9999;7319
117899264;7;7;0;2;Entertainment;9999;9900
117964800;7;8;0;2;Leisure Center;9999;9378
118030336;7;9;0;2;Marina;9999;7347
118095872;7;10;0;2;Museum;9999;7317
118161408;7;11;0;2;Nightlife;9999;9379
118226944;7;12;0;2;Park and Recreation Area;9999;9362
118292480;7;13;0;2;Theater;9;7318
118358016;7;14;0;2;Trail System;9999;7302
118423552;7;15;0;2;Winery;9999;7349
118489088;7;16;0;2;Zoo, Arboreta & Botanical Garden;9;9927
134283264;8;1;0;2;Camping Ground;9999;7360
134348800;8;2;0;2;Holiday Rental;9999;7304
134414336;8;3;0;2;Hotel/Motel;9;7314
134479872;8;4;0;2;Residential Accommodation;9999;7303
151060480;9;1;0;2;Department Store;9999;7327
151126016;9;2;0;2;Market;9999;7332
151191552;9;3;0;2;Shop;9999;9361
151257088;9;4;0;2;Shopping Center;9;7373
167837696;10;1;0;2;Golf Course;9999;9911
167903232;10;2;0;2;Ice Skating Rink;9999;9360
167968768;10;3;0;2;Sports Center;9;7320
168034304;10;4;0;2;Stadium;9999;7374
168099840;10;5;0;2;Swimming Pool;9999;7338
168165376;10;6;0;2;Tennis Court;9999;9369
168230912;10;7;0;2;Water Sport;9999;9371
184614912;11;1;0;2;Adventure Sports Venue;9999;7305
184680448;11;2;0;2;Beach;9999;9357
184745984;11;3;0;2;Important Tourist Attraction;9;7376
184811520;11;4;0;2;Place of Worship;9999;7339
184877056;11;5;0;2;Scenic/Panoramic View;9999;7337
184942592;11;6;0;2;Tourist Information Office;9999;7316
201392128;12;1;0;2;Access Gateway;9999;7389
201457664;12;2;0;2;Airport;9;7383
201523200;12;3;0;2;Ferry Terminal;9999;7352
201588736;12;4;0;2;Frontier Crossing;9999;7366
201654272;12;5;0;2;Helipad/Helicopter Landing;9999;7308
201719808;12;6;0;2;Mountain Pass;9999;9935
201785344;12;7;0;2;Port/Warehouse Facility;9999;9159
201850880;12;8;0;2;Public Transport Stop;9999;9942
201916416;12;9;0;2;Railway Station;9;7380
16842753;1;1;1;3;ATV/Snowmobile;9999;9910009
16842754;1;1;2;3;Boat;9999;9910004
16842755;1;1;3;3;Bus;9999;9910008
16842756;1;1;4;3;Car;9999;9910002
16842757;1;1;5;3;Motorcycle;9999;9910003
16842758;1;1;6;3;Recreational Vehicles;9999;9910005
16842759;1;1;7;3;Truck;9999;9910006
16842760;1;1;8;3;Unspecified;9999;9910001
16842761;1;1;9;3;Van;9999;9910007
16908289;1;2;1;3;Car Wash;9999;9155002
16908290;1;2;2;3;Truck Wash;9999;9155003
16908291;1;2;3;3;Unspecified;9999;9155001
17432577;1;10;1;3;Bodyshops;9999;7310002
17432578;1;10;2;3;Car Glass Replacement Shops;9999;7310003
17432579;1;10;3;3;General Car Repair & Servicing;9999;7310004
17432580;1;10;4;3;Motorcycle Repair;9999;7310008
17432581;1;10;5;3;Other Repair Shops;9999;7310005
17432582;1;10;6;3;Sale & Installation of Car Accessories;9999;7310006
17432583;1;10;7;3;Truck Repair and Service;9999;7310009
17432584;1;10;8;3;Tyre(Tire) Services;9999;7310007
17432585;1;10;9;3;Unspecified;9999;7310001
17694721;1;14;1;3;Unspecified;9999;7359001
17694722;1;14;2;3;Weigh Scales;9999;7359003
17694723;1;14;3;3;Weigh Station;9999;7359002
33619969;2;1;1;3;Farm;9999;7335004
33619970;2;1;2;3;Horticulture;9999;7335002
33619971;2;1;3;3;Primary Producer;9999;7335003
33619972;2;1;4;3;Unspecified;9999;7335001
33947649;2;6;1;3;Advertising/Marketing;9999;9352003
33947650;2;6;2;3;Agricultural Technology;9999;9352012
33947651;2;6;3;3;Airline;9999;9352034
33947652;2;6;4;3;Animal Shelter;9999;9352045
33947653;2;6;5;3;Automobile;9999;9352013
33947654;2;6;6;3;Automobile Manufacturing;9999;9352041
33947655;2;6;7;3;Bridge & Tunnel Operations;9999;9352035
33947656;2;6;8;3;Bus Charter & Rentals;9999;9352025
33947657;2;6;9;3;Business Services;9999;9352039
33947658;2;6;10;3;Bus Lines;9999;9352027
33947659;2;6;11;3;Cable & Telephone;9999;9352040
33947660;2;6;12;3;Catering;9999;9352043
33947661;2;6;13;3;Chemicals;9999;9352014
33947662;2;6;14;3;Cleaning Services;9999;9352029
33947663;2;6;15;3;Computer & Data Services;9999;9352004
33947664;2;6;16;3;Computer Software;9999;9352005
33947665;2;6;17;3;Construction;9999;9352032
33947666;2;6;18;3;Diversified Finanacials;9999;9352006
33947667;2;6;19;3;Electronics;9999;9352015
33947668;2;6;20;3;Equipment Rental;9999;9352038
33947669;2;6;21;3;Funeral Service & Mortuaries;9999;9352036
33947670;2;6;22;3;Home Appliance Repair;9999;9352044
33947671;2;6;23;3;Import/Export and Distribution;9999;9352042
33947672;2;6;24;3;Insurance;9999;9352007
33947673;2;6;25;3;Investment Advisors;9999;9352037
33947674;2;6;26;3;Legal Services;9999;9352023
33947675;2;6;27;3;Mail/Package/Freight Delivery;9999;9352008
33947676;2;6;28;3;Manufacturing;9999;9352011
33947677;2;6;29;3;Mechanical Engineering;9999;9352016
33947678;2;6;30;3;Mining;9999;9352031
33947679;2;6;31;3;Moving & Storage;9999;9352033
33947680;2;6;32;3;OEM;9999;9352021
33947681;2;6;33;3;Oil & Natural Gas;9999;9352030
33947682;2;6;34;3;Pharmaceuticals;9999;9352018
33947683;2;6;35;3;Public Health Technologies;9999;9352017
33947684;2;6;36;3;Publishing Technologies;9999;9352019
33947685;2;6;37;3;Real Estate;9999;9352009
33947686;2;6;38;3;Savings Institution;9999;9352010
33947687;2;6;39;3;School Bus;9999;9352028
33947688;2;6;40;3;Service;9999;9352002
33947689;2;6;41;3;Taxi, Limousine & Shuttle Service;9999;9352026
33947690;2;6;42;3;Tax Services;9999;9352022
33947691;2;6;43;3;Tele Communications;9999;9352020
33947692;2;6;44;3;Transport;9999;9352024
33947693;2;6;45;3;Unspecified;9999;9352001
33947694;2;6;46;3;Wedding Services;9999;9352046
34144257;2;9;1;3;Currency Exchange;9999;9160004
34144258;2;9;2;3;Gold Exchange;9999;9160003
34144259;2;9;3;3;Stock Exchange;9999;9160002
34144260;2;9;4;3;Unspecified;9999;9160001
50397185;3;1;1;3;Café;9999;9376002
50397186;3;1;2;3;Coffee Shop;9999;9376006
50397187;3;1;3;3;Internet Café;9999;9376004
50397188;3;1;4;3;Microbrewery/Beer Garden;9999;9376007
50397189;3;1;5;3;Pub;9999;9376003
50397190;3;1;6;3;Tea House;9999;9376005
50397191;3;1;7;3;Unspecified;9999;9376001
50462721;3;2;1;3;Afghan;9999;7315081
50462722;3;2;2;3;African;9999;7315002
50462723;3;2;3;3;Algerian;9999;7315082
50462724;3;2;4;3;American;9999;7315003
50462725;3;2;5;3;Arabian;9999;7315083
50462726;3;2;6;3;Argentinean;9999;7315084
50462727;3;2;7;3;Armenian;9999;7315085
50462728;3;2;8;3;Asian(other);9999;7315062
50462729;3;2;9;3;Australian;9999;7315086
50462730;3;2;10;3;Austrian;9999;7315004
50462731;3;2;11;3;Banquet Rooms;9999;7315146
50462732;3;2;12;3;Barbecue;9999;7315005
50462733;3;2;13;3;Basque;9999;7315087
50462734;3;2;14;3;Belgian;9999;7315006
50462735;3;2;15;3;Bistro;9999;7315007
50462736;3;2;16;3;Bolivian;9999;7315088
50462737;3;2;17;3;Bosnian;9999;7315089
50462738;3;2;18;3;Brazilian;9999;7315072
50462739;3;2;19;3;British;9999;7315008
50462740;3;2;20;3;Buffet;9999;7315142
50462741;3;2;21;3;Bulgarian;9999;7315090
50462742;3;2;22;3;Burmese;9999;7315091
50462743;3;2;23;3;Cafeterias;9999;7315147
50462744;3;2;24;3;Californian;9999;7315009
50462745;3;2;25;3;Cambodian;9999;7315092
50462746;3;2;26;3;Canadian;9999;7315010
50462747;3;2;27;3;Caribbean;9999;7315011
50462748;3;2;28;3;Chicken;9999;7315070
50462749;3;2;29;3;Chilean;9999;7315093
50462750;3;2;30;3;Chinese;9999;7315012
50462751;3;2;31;3;Colombian;9999;7315094
50462752;3;2;32;3;Corsican;9999;7315095
50462753;3;2;33;3;Creole-Cajun;9999;7315063
50462754;3;2;34;3;Crêperie;9999;7315013
50462755;3;2;35;3;Cuban;9999;7315096
50462756;3;2;36;3;Cypriot;9999;7315097
50462757;3;2;37;3;Czech;9999;7315068
50462758;3;2;38;3;Danish;9999;7315098
50462759;3;2;39;3;Dominican;9999;7315099
50462760;3;2;40;3;Dongbei;9999;7315057
50462761;3;2;41;3;Doughnuts;9999;7315079
